year,id,espacios(rótulo_refined),Dirección,Epígrafe de actividad,Fecha de la inspección,Tipo de actuación,Perfil de la actividad,Estado higiénico sanitario,Frecuencia de inspección,macroetiquetas,year_2018,id_2,Fecha de la inspección_2,Tipo de actuación_2,Perfil de la actividad_2,Estado higiénico sanitario_2,Frecuencia de inspección_2,mejora o empeora,latitude,longitude,final_district,owner (education only),Denominación genérica,fuente alternativa
2018,5864,PAPIZZA 2018,CARRETERA CASTILLA NUM 12 ,561005 - BAR CON COCINA,04/05/2018,No programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5865,URBAN FUSSION FOOD 2018,CARRETERA CASTILLA NUM 12 ,561005 - BAR CON COCINA,04/05/2018,No programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5644,VILLAPLANA CATERING 2018,CARRETERA CASTILLA NUM 12 ,561001 - RESTAURANTE,04/05/2018,Programada,Prioridad alta,Favorable,Alta,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5235,PARQUE DEPORTIVO PUERTA DE HIERRO.-CAFETE-RESTAURANTE,CARRETERA EL PARDO A LA PLAYA NUM 4 ,561004 - BAR RESTAURANTE,24/10/2018,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.4624278,-3.7499533,Moncloa-Aravaca,,,
2018,8484,EL JARDIN DE SOMONTES -SALON DE BANQUETES-,CARRETERA EL PARDO NUM 43 ,562101 - SALONES DE BANQUETES Y PROVISION COMIDAS PARA EVENTOS,19/06/2018,Programada,Prioridad alta,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.4886033,-3.7548241,Fuencarral-El Pardo,,,
2018,5934,SITUADO CARRETERA ESTACION DE HORTALEZA NUM 11,CARRETERA ESTACION DE HORTALEZA NUM 11 ,47800112 - SITUADOS DE ALIMENTOS ENVASADOS SOMETIDOS A TRANSFORMACION,21/08/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4788914,-3.6528582,Hortaleza,,,
2018,636,FRUTOS SECOS Y VARIANTES (MERCADILLO UVA PTO 57),CARRETERA ESTACION DE HORTALEZA S/N 0 ,472907 - COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES,11/02/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4763069,-3.654582,Hortaleza,,,
2018,632,"FRUTOS SECOS, VARIANTES Y BEBIDAS NO ALCOH.(MERCADILLO UVA PTO 8)",CARRETERA ESTACION DE HORTALEZA S/N 0 ,47800107 - SITUADOS: CONFITERIA Y FRUTOS SECOS Y PATATAS FRITAS,11/02/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4763069,-3.654582,Hortaleza,,,
2018,4895,MERCADILLO CARRETERA ESTACION DE HORTALEZA S/N - Nº 49,CARRETERA ESTACION DE HORTALEZA S/N 0 ,472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,24/06/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4763069,-3.654582,Hortaleza,,,
2018,634,MERCADILLO UVA-HORTALEZA PUESTO 50,CARRETERA ESTACION DE HORTALEZA S/N 0 ,472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,24/06/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4763069,-3.654582,Hortaleza,,,
2018,6915,HOSPITAL HESTIA MADRID,CARRETERA ESTACION VALDELATAS NUM 2 ,562905 - SERVICIOS DE PREPARACIÓN DE COMIDAS EN HOSPITALES,19/04/2018,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.536847,-3.6824832,Fuencarral-El Pardo,,,
2018,6884,GLOBOMEDIA,CARRETERA FUENCARRAL A ALCOBENDAS NUM 24 ,"562901 - OTROS SERVICIOS DE COMIDAS EN INSTALACIONES DEPORTIVAS, OFICINAS, EMPRESAS O SIMILARES",07/03/2018,Programada,Prioridad alta,Favorable,Alta,bares/restaurantes,,,,,,,,,40.5149656,-3.6726698,Fuencarral-El Pardo,,,
2018,5610,CAMPOGRANDE,CARRETERA HIPODROMO NUM 2 ,563005 - BAR SIN COCINA,08/08/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4618068,-3.7571907,Moncloa-Aravaca,,,
2018,7667,LA BOLSA DEL TAXI T4-SAT (CAF-RNTE),CARRETERA M-110 KM. 100 ,561001 - RESTAURANTE,13/11/2018,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Barajas,,,
2019,4626,CANTINA PERSONAL T4NAT,CARRETERA M-110 KM. 250 ,"562901 - OTROS SERVICIOS DE COMIDAS EN INSTALACIONES DEPORTIVAS, OFICINAS, EMPRESAS O SIMILARES",20/03/2019,Programada,Prioridad baja,Favorable,Baja,bares/restaurantes,2018,7668,15/02/2018,Programada,Prioridad media,Favorable,Media,Sin cambios,40.4574967,-3.7686412,Barajas,,,
2018,7669,EAT,CARRETERA M-110 KM. 250 ,561005 - BAR CON COCINA,05/06/2018,Programada,Prioridad baja,Favorable,Baja,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Barajas,,,
2018,5936,ZONA VIP DALI T-4,CARRETERA M-110 KM. 250 ,471104 - COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,21/06/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4574967,-3.7686412,Barajas,,,
2018,5937,ZONA VIP VELAZQUEZ T4 SAT,CARRETERA M-110 KM. 260 ,"562901 - OTROS SERVICIOS DE COMIDAS EN INSTALACIONES DEPORTIVAS, OFICINAS, EMPRESAS O SIMILARES",21/06/2018,Programada,Prioridad baja,Favorable,Baja,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Barajas,,,
